curriculum_level,episode,seed,return,length,outcome,success,collision,timeout,initial_distance_m,final_distance_m,minimum_clearance_m,path_length_m,path_efficiency,mean_linear_velocity_mps,mean_absolute_angular_velocity_radps,route_waypoints_completed,route_waypoint_count,stuck_steps,stuck_step_fraction,start_room,goal_room
2,0,90000,55.7220243900222,251,success,1,0,0,5.137511584254704,0.24679873143832518,0.43234601616859436,6.388889862909613,0.8041321253760024,0.1932999040501051,0.25618102555707595,2,2,0,0.0,meeting,laboratory
2,1,90001,62.851760111271105,303,success,1,0,0,2.9312757650067147,0.22686858770847876,0.6656268835067749,7.77879020406471,0.3768292611201949,0.19503945001576206,0.23993455904298508,2,2,0,0.0,meeting,laboratory
2,2,90002,-3.4744317409490826,153,collision,0,1,0,6.2483274037685685,2.922862832581966,0.20649957656860352,3.9946861174819155,nan,0.19950774655330414,0.3731715381175913,2,2,0,0.0,meeting,laboratory
2,3,90003,44.34786176184798,142,success,1,0,0,3.074253868943478,0.24307504224160675,0.9367638230323792,3.7526005405302283,0.8192329121471313,0.2018541188936838,0.2995109172479715,2,2,0,0.0,laboratory,meeting
2,4,90004,84.23843722404784,395,success,1,0,0,9.430780998298491,0.24315031825293096,0.5313891768455505,10.848737086243082,0.8692975895099667,0.20846864118983474,0.24105590331895702,4,4,0,0.0,laboratory,office
2,5,90005,62.258549516572245,315,success,1,0,0,8.00941999094947,0.24891951985712066,0.22579234838485718,8.160809030476985,0.9814492608561057,0.19678988951066184,0.19575612470119572,2,2,0,0.0,meeting,laboratory
2,6,90006,86.93153006505341,440,success,1,0,0,9.109876758300558,0.2471798866963813,0.5895588994026184,11.03775523765833,0.8253378120960424,0.1906831157478419,0.1668622524724924,4,4,0,0.0,office,laboratory
2,7,90007,57.734704230915675,220,success,1,0,0,5.6040592310888115,0.2356315322690596,0.6474897861480713,6.077046412484404,0.9221682460045213,0.21031412969936025,0.19307907475899397,2,2,0,0.0,laboratory,meeting
2,8,90008,78.60611548644938,357,success,1,0,0,9.417661411216866,0.24508571803766827,0.35594263672828674,9.885102659694482,0.9527125549860437,0.21066271394741634,0.18788744245394307,4,4,0,0.0,office,laboratory
2,9,90009,-22.52500947023004,31,collision,0,1,0,4.716267136812619,4.470146513174311,0.21346165239810944,0.8175705496105193,nan,0.20556460176744767,0.28511277666491935,0,2,0,0.0,office,meeting
2,10,90010,54.1870104058815,201,success,1,0,0,5.105590859864521,0.23677250800294555,0.5654073357582092,5.541892032356047,0.9212721630186578,0.211020227688462,0.2535043684835198,2,2,0,0.0,laboratory,meeting
2,11,90011,76.44108122205586,331,success,1,0,0,9.140803125025778,0.24986480619989834,0.507413923740387,9.347143070568885,0.9779248114653553,0.21472064651031147,0.1068712193113094,2,2,0,0.0,laboratory,meeting
